age,priors_count,length_of_stay,c_charge_degree_F,sex_Female,race,risk
25,3,1,1,0,1,1
26,1,32,0,0,1,1
25,0,0,0,0,1,1
52,2,4,1,0,0,0
55,1,0,1,1,1,1
36,2,0,0,0,0,1
21,0,34,1,0,1,0
20,1,1,1,0,1,0
21,3,1,0,1,0,1
38,0,0,0,0,0,1
37,11,1,1,0,0,0
53,0,0,1,0,0,1
46,3,1,1,0,1,1
41,1,1,1,0,0,1
23,1,1,0,1,0,1
39,0,0,1,0,1,1
56,0,1,0,0,0,1
22,0,0,1,0,1,0
43,0,1,0,0,1,1
46,0,-1,0,0,0,1
54,28,5,1,0,1,0
38,2,8,1,0,0,1
48,2,0,1,0,0,1
30,0,0,0,0,1,1
46,0,0,0,0,0,1
24,3,44,1,0,1,0
26,1,1,0,0,0,1
23,0,0,1,0,1,1
29,10,108,0,0,1,0
29,0,0,0,0,1,1
21,0,0,1,1,1,1
62,0,-1,0,0,0,1
37,4,1,0,0,0,1
40,5,55,1,1,0,0
24,0,0,0,1,0,1
33,4,1,0,0,1,1
24,1,0,1,0,0,0
28,9,0,0,0,0,1
32,4,1,1,0,1,1
27,12,1,1,0,1,0
26,0,0,0,1,1,1
26,1,8,1,0,0,1
56,1,3,0,0,0,1
23,2,22,1,0,1,1
45,5,1,1,0,0,1
23,0,0,0,1,1,1
26,0,3,0,0,0,1
30,1,-1,1,0,0,1
42,0,0,0,0,0,1
25,5,155,1,0,1,0
40,1,0,1,0,1,1
21,0,1,1,0,1,0
25,6,1,0,0,0,1
51,6,2,1,0,0,1
50,4,0,1,0,1,1
22,0,0,1,0,0,1
34,8,2,1,0,1,0
27,0,43,1,0,0,1
35,0,0,1,0,1,1
31,0,0,0,0,1,1
56,6,1,1,0,0,1
24,0,1,0,0,1,0
33,2,0,1,0,0,1
39,0,1,1,0,0,1
29,0,0,1,0,0,1
27,9,1,1,0,1,0
66,2,56,0,0,0,1
23,1,0,1,0,1,1
62,3,1,0,0,1,1
23,2,22,1,0,0,0
64,0,0,1,1,0,1
27,5,64,0,0,1,1
42,1,21,1,1,0,1
30,1,28,1,0,0,1
25,2,11,0,0,0,1
23,4,0,0,0,0,1
23,1,0,0,0,0,1
23,2,80,0,0,1,0
21,1,29,1,0,1,1
34,0,0,0,0,0,1
23,2,0,0,1,0,1
58,10,0,0,0,0,1
49,13,0,1,0,1,1
69,22,1,0,0,1,1
52,0,4,1,0,1,1
39,3,2,0,1,1,1
26,4,0,1,1,1,0
25,2,12,1,0,0,1
36,5,1,0,0,1,1
41,19,42,1,0,0,0
23,0,4,0,0,0,0
24,3,7,1,0,0,1
30,0,0,1,0,1,1
54,2,0,0,0,0,1
32,1,2,1,1,0,1
24,2,30,0,1,1,1
28,1,1,1,0,0,1
24,0,0,1,0,0,1
20,0,0,1,0,1,0
24,2,19,1,0,1,0
21,1,1,1,0,1,0
44,1,1,1,0,0,0
29,0,1,1,0,0,1
52,0,0,0,0,0,1
50,0,2,1,0,0,1
38,0,0,1,1,0,1
62,0,1,0,0,0,1
20,1,0,1,0,1,1
57,1,17,1,0,0,1
31,0,38,0,0,0,1
52,1,3,1,1,0,1
27,25,40,1,0,1,0
22,1,1,0,0,1,1
56,2,16,0,0,0,1
55,2,2,1,1,0,1
34,0,0,0,0,0,1
22,1,0,1,0,1,1
65,1,-1,1,1,0,1
26,9,11,1,0,1,1
23,2,7,0,0,1,0
29,11,1,1,0,1,1
39,1,4,0,0,1,1
50,5,3,1,0,0,1
37,23,17,1,0,1,0
25,4,1,1,0,0,1
26,7,1,1,0,1,1
32,3,0,1,0,0,1
47,3,0,1,0,1,1
37,0,0,1,0,0,1
30,17,4,1,0,1,0
21,0,35,0,0,1,0
39,5,18,1,0,0,1
28,0,0,1,0,0,1
42,2,1,1,1,1,1
51,0,7,0,1,0,1
26,5,0,1,0,1,1
49,4,3,1,1,0,1
21,1,86,1,0,1,0
35,2,13,1,0,0,1
35,2,1,0,0,1,1
38,0,1,0,0,0,1
30,0,1,0,0,0,1
21,3,1,1,0,1,0
27,0,1,0,1,1,1
38,0,-1,0,0,1,1
20,1,1,1,0,1,1
25,2,58,1,0,1,1
28,11,2,1,0,1,1
25,0,1,1,0,0,1
24,0,2,1,0,1,1
35,1,74,1,0,0,1
56,31,0,1,0,1,1
27,10,1,1,0,1,0
26,2,19,1,0,0,1
27,3,12,0,0,1,1
31,0,0,1,0,0,1
52,2,1,1,0,0,1
33,1,0,1,1,1,1
32,0,1,1,1,0,1
28,0,15,1,0,1,1
25,7,43,1,0,0,0
44,1,0,1,0,0,1
39,4,1,1,1,0,1
21,1,36,1,0,0,1
21,1,5,1,0,1,0
60,3,0,0,0,1,1
29,0,2,1,1,1,1
32,0,0,0,0,0,1
20,2,52,1,0,0,0
28,5,51,1,0,1,0
29,3,60,0,0,1,0
21,0,1,0,0,1,1
21,1,2,1,0,1,1
33,0,0,1,0,0,1
31,5,3,1,0,0,1
20,1,14,1,0,1,0
28,8,20,1,0,1,0
46,15,6,1,0,1,1
49,3,34,1,0,0,0
62,0,0,1,0,0,1
21,0,0,0,0,0,1
31,1,1,1,0,0,1
22,0,0,1,1,0,1
36,0,37,1,0,0,0
51,2,22,1,0,0,1
26,6,1,0,0,1,0
44,1,0,0,0,1,1
29,15,1,1,0,1,1
30,3,25,1,0,0,1
40,0,0,1,0,0,1
37,2,4,1,0,0,1
61,0,0,0,0,0,1
22,1,24,0,0,0,1
50,1,1,1,0,0,1
34,2,0,0,0,0,1
53,2,40,1,0,0,1
22,1,-1,1,0,1,1
35,5,225,1,0,1,1
30,6,6,1,0,0,1
32,10,6,1,0,0,1
41,18,299,1,0,1,1
45,9,75,0,1,1,1
27,0,-1,0,1,0,1
28,3,1,0,0,1,1
21,0,1,1,0,0,0
23,0,1,0,0,0,1
45,0,1,0,0,0,1
21,0,45,0,0,1,1
46,4,0,1,1,1,1
39,0,2,1,0,0,1
35,0,0,1,0,1,1
70,1,1,1,1,1,1
22,0,2,1,0,0,1
69,3,0,0,0,1,1
31,0,-1,1,0,0,0
36,9,0,1,1,0,1
31,4,4,1,0,1,1
40,0,2,1,0,1,1
42,6,0,1,0,1,0
24,7,0,1,0,1,1
25,0,0,0,0,1,1
30,2,18,0,0,1,1
37,0,1,1,0,0,1
43,0,1,0,1,0,1
24,0,1,0,1,0,1
22,0,1,1,0,1,1
36,9,3,1,0,1,1
54,4,3,0,0,0,1
24,1,1,0,0,0,1
37,11,0,0,0,1,1
28,5,0,1,0,1,1
24,6,1,1,0,0,0
44,0,1,1,0,1,1
20,0,0,1,0,1,1
33,1,0,1,0,1,1
29,9,214,0,1,1,0
23,0,5,1,0,0,1
27,2,0,1,0,1,1
20,1,0,0,0,1,0
25,0,4,0,0,1,1
26,4,1,0,1,0,1
26,5,-1,1,0,0,0
41,2,0,0,1,1,1
31,11,0,1,0,1,1
23,1,15,1,0,1,0
31,0,35,1,0,0,1
40,2,1,1,1,1,1
56,7,0,1,0,0,1
60,0,1,1,0,0,1
25,5,35,1,0,1,0
48,0,33,1,0,0,1
25,4,1,1,0,0,0
46,2,3,0,0,0,1
30,0,1,1,1,0,1
32,3,30,1,1,1,1
27,0,1,1,0,0,1
29,4,1,1,0,1,1
23,0,0,1,0,1,1
37,3,1,1,0,1,1
56,1,2,0,0,0,1
53,1,0,0,0,0,1
33,9,2,0,0,1,0
29,0,28,1,1,0,1
27,0,0,0,0,0,1
24,7,2,0,0,1,0
34,2,1,1,0,1,1
27,0,0,0,0,1,1
25,6,6,1,0,1,1
28,5,1,0,0,1,0
34,1,2,1,1,1,1
46,0,1,0,1,0,1
34,6,52,1,1,1,1
22,2,31,1,0,0,1
28,0,-1,1,0,1,1
45,0,1,0,0,0,1
51,14,7,1,0,1,1
47,22,3,1,0,0,0
33,2,-1,1,1,0,1
39,0,1,0,0,0,1
30,0,23,0,0,0,1
26,2,1,1,0,1,0
27,3,1,0,0,1,1
20,0,1,1,0,0,1
52,6,33,0,1,0,1
52,4,1,0,0,1,1
30,4,1,1,1,0,1
35,2,8,1,0,0,1
42,1,2,0,0,0,1
34,1,1,1,0,0,1
56,0,0,0,0,0,1
49,2,0,0,1,0,1
26,4,0,1,0,1,0
52,0,-1,0,1,1,1
25,5,54,1,0,1,0
36,1,1,1,1,1,1
22,1,1,1,0,0,1
24,6,218,1,0,0,0
49,11,32,0,0,1,1
24,2,12,0,0,1,1
21,0,0,1,1,0,1
21,0,3,0,0,0,1
26,0,0,1,0,1,1
21,1,1,1,0,1,0
63,5,4,0,0,0,1
39,0,54,1,0,0,1
19,0,1,0,0,0,0
34,22,1,1,0,1,1
35,0,2,1,0,1,1
23,3,5,1,1,1,0
21,0,1,1,0,1,1
59,1,1,1,0,1,1
30,4,29,1,1,0,1
28,1,0,1,0,1,1
27,0,0,1,1,0,1
49,0,1,1,1,1,1
28,16,1,1,0,1,0
23,1,22,1,0,1,1
23,1,0,1,0,1,1
24,3,1,1,0,1,1
44,0,2,1,0,1,1
34,0,1,1,0,1,1
21,1,1,1,0,1,0
31,6,10,0,0,0,1
33,18,0,1,0,1,0
55,1,1,1,0,0,1
53,5,1,1,1,1,1
39,1,-1,0,0,1,1
32,1,10,0,1,0,1
53,0,0,0,1,0,1
21,1,1,1,0,1,0
59,1,1,1,0,0,1
31,1,-1,0,0,1,1
29,4,0,1,0,0,0
39,0,0,0,0,0,1
34,3,1,1,0,1,1
35,1,28,0,1,0,1
21,4,0,0,1,1,0
20,2,21,1,0,0,0
57,2,2,1,0,0,1
34,10,2,1,0,1,1
25,0,1,1,0,0,1
65,0,0,1,1,0,1
24,3,0,0,0,0,1
19,1,9,0,0,1,1
20,0,0,1,0,1,1
56,1,169,1,1,0,0
24,0,0,1,1,1,1
37,6,23,1,0,0,1
45,0,0,0,1,0,1
52,2,10,0,0,1,1
28,11,1,1,0,0,1
34,0,62,1,1,0,1
19,1,3,1,0,1,1
20,0,0,1,0,0,1
25,6,1,1,0,0,1
28,0,0,1,0,0,1
19,2,1,1,0,0,0
24,1,1,0,0,0,1
29,8,0,1,0,0,1
20,2,0,1,0,1,0
36,0,1,0,0,0,1
39,7,0,1,0,1,0
53,0,0,1,0,0,1
36,0,1,0,1,0,1
39,1,106,1,1,0,1
34,1,0,1,0,1,1
24,2,2,0,0,1,0
36,4,1,0,1,1,1
22,2,0,1,0,1,1
20,0,0,0,0,1,1
44,0,0,1,0,1,1
27,12,31,1,0,1,0
34,1,51,1,0,0,1
40,0,0,0,0,0,1
28,0,1,1,0,0,1
25,4,86,1,0,1,0
30,0,5,1,0,0,1
32,0,1,0,0,0,1
28,1,1,0,0,0,1
29,1,3,0,0,1,1
30,10,1,0,0,1,1
30,3,1,0,0,1,1
34,1,2,1,1,0,1
54,0,0,0,0,0,1
27,2,0,1,1,0,1
26,8,1,1,0,1,0
21,0,0,0,0,0,1
30,0,5,1,0,0,1
24,3,2,0,1,1,1
50,7,1,0,1,1,1
20,0,0,1,0,0,1
51,8,3,0,0,1,1
24,0,-1,1,0,1,1
56,3,191,1,0,0,1
27,1,2,0,0,1,1
23,1,35,1,0,1,1
24,9,8,0,1,0,0
63,1,14,1,0,0,1
36,13,2,1,0,1,0
48,1,0,1,0,1,1
28,0,0,0,1,0,1
33,4,-1,1,0,1,1
26,1,0,0,1,1,1
21,2,86,1,0,1,0
20,0,1,0,0,0,1
30,1,1,1,0,0,1
24,0,15,1,0,0,1
24,0,0,1,0,0,1
40,4,2,0,0,0,1
36,11,36,1,0,1,1
26,0,1,0,0,0,1
52,7,117,1,0,1,0
20,0,1,1,0,0,1
26,1,2,1,1,1,1
30,0,6,1,0,0,1
32,0,0,0,0,0,1
48,1,21,1,0,0,1
51,0,1,1,1,0,1
25,0,21,0,0,0,1
31,2,3,0,0,0,1
21,1,1,1,0,1,1
41,0,-1,0,0,0,1
33,2,0,1,1,1,1
35,1,2,1,0,0,1
21,1,0,1,1,1,1
38,15,0,1,0,1,1
48,0,1,1,1,0,1
34,0,-1,0,0,0,1
70,0,0,0,0,0,1
63,0,3,0,0,0,1
48,0,11,1,0,0,1
31,0,0,0,0,0,1
36,4,1,1,0,1,1
39,0,2,1,1,1,1
54,4,1,1,0,1,1
45,3,0,1,0,0,1
20,0,11,0,0,1,0
22,2,0,1,1,0,1
23,0,0,1,0,0,1
28,5,51,0,0,1,1
31,7,54,1,0,1,1
35,2,14,1,1,1,1
31,11,-1,1,0,1,0
31,4,1,1,0,0,0
52,0,0,0,1,0,1
28,2,2,1,0,1,1
26,6,1,0,0,1,1
20,0,0,1,0,1,1
41,9,2,0,0,1,0
22,2,1,1,1,1,1
26,0,1,0,0,0,1
35,4,353,1,0,1,0
29,6,0,1,0,0,1
26,0,-1,1,0,1,1
55,0,0,0,0,0,1
25,4,1,0,0,0,0
51,3,1,1,0,1,1
20,0,2,1,1,0,0
27,0,1,1,0,0,1
30,2,1,1,0,0,1
51,19,13,1,0,1,0
20,0,0,1,0,1,0
24,0,0,1,1,0,1
22,1,1,1,0,0,1
37,17,1,1,0,1,0
26,0,0,0,0,1,1
38,3,1,1,0,0,1
53,11,110,1,0,1,1
30,3,5,0,0,1,1
36,0,0,0,0,0,1
37,7,6,1,1,0,1
22,0,0,1,0,0,1
26,2,0,1,1,0,0
22,5,19,1,0,1,0
46,0,0,1,0,0,1
30,2,63,1,0,0,1
26,0,0,0,1,1,1
26,0,1,0,0,0,1
24,6,7,1,0,0,0
53,1,2,0,0,0,1
21,0,0,1,0,1,1
44,0,34,0,0,1,1
56,3,1,0,0,1,1
35,8,10,1,0,1,1
25,0,0,1,0,1,1
51,1,7,1,0,1,1
41,12,0,1,0,1,1
58,1,60,1,0,1,1
25,2,1,1,0,1,1
22,0,0,1,1,1,1
39,6,2,1,0,1,1
37,1,0,0,0,1,1
22,1,1,0,0,1,1
31,0,30,1,0,0,0
22,0,2,1,0,1,1
32,0,5,1,0,0,1
51,0,2,1,0,1,1
41,1,2,1,0,1,1
24,2,1,1,1,0,1
43,3,1,1,0,0,1
25,4,1,1,1,1,1
23,1,0,0,1,1,1
26,0,0,1,0,0,1
21,0,42,1,0,1,1
34,3,0,1,0,1,1
37,0,0,1,0,1,1
25,4,0,1,0,1,0
21,0,1,1,0,0,1
28,6,2,0,1,1,1
54,2,29,1,0,0,1
34,0,241,1,0,1,1
25,1,13,1,1,1,1
36,2,1,1,1,0,1
40,0,0,1,0,0,1
23,2,2,0,0,1,0
54,3,2,0,0,0,1
33,6,1,0,0,1,1
30,7,1,1,0,1,1
66,1,0,1,0,0,1
21,1,1,0,0,1,1
20,0,0,1,0,1,1
25,9,84,1,0,1,0
24,0,22,1,0,1,1
41,0,0,0,0,0,1
25,2,64,0,0,0,1
22,0,0,0,0,0,1
28,4,0,1,1,1,1
54,4,1,1,0,1,1
36,13,33,1,1,1,0
26,10,0,0,0,0,0
41,0,0,0,0,0,1
28,8,3,1,0,1,1
34,3,33,1,0,1,1
45,0,1,1,0,0,1
39,22,3,1,1,1,0
27,5,37,0,0,1,0
24,6,1,1,0,1,1
28,1,0,1,1,0,1
60,1,0,1,0,0,1
24,0,0,0,1,0,0
31,19,0,1,0,0,1
40,0,2,0,1,0,1
29,0,0,0,1,0,1
37,0,19,1,0,0,1
38,0,0,0,1,0,1
22,3,0,1,0,1,1
32,1,0,0,0,1,1
27,7,4,1,0,1,0
22,0,-1,1,0,1,1
45,0,3,0,0,0,1
33,0,1,0,0,0,1
24,0,0,1,0,1,1
35,0,0,1,0,0,1
23,6,1,1,0,1,0
35,10,22,1,0,1,1
28,18,0,1,0,1,0
34,0,1,0,1,1,1
35,5,0,1,1,1,1
21,0,4,1,0,0,0
24,3,35,1,0,0,1
25,14,7,1,0,1,0
24,6,1,1,0,1,0
27,0,1,1,0,1,1
27,1,0,1,0,1,1
56,2,49,0,1,0,1
26,0,1,0,0,1,1
44,9,25,1,0,1,0
34,0,1,1,0,0,1
32,0,0,0,0,0,1
46,4,8,1,0,1,1
36,6,0,1,0,0,1
33,1,0,1,1,1,1
28,5,3,1,0,1,1
23,10,70,1,0,0,1
24,0,0,1,1,0,1
27,0,27,1,0,0,0
25,6,0,0,0,1,1
34,4,1,1,0,0,1
26,0,0,0,0,1,1
24,3,-1,1,0,1,0
25,1,1,1,0,1,1
34,1,1,1,0,1,1
20,0,0,1,1,0,1
24,1,57,1,0,1,1
41,0,3,1,0,0,1
22,2,1,1,0,1,1
30,1,33,1,0,0,0
32,0,1,0,0,0,1
36,1,2,1,0,0,1
26,2,0,1,0,1,0
24,5,1,1,0,0,1
36,2,0,0,0,0,1
40,0,4,1,0,1,0
28,1,38,1,1,1,0
45,13,0,1,0,1,1
23,3,3,1,0,0,1
25,0,1,0,0,0,1
61,14,1,0,0,1,1
35,0,0,0,1,1,1
52,0,0,1,1,1,1
24,8,0,1,0,1,0
26,4,1,1,0,1,1
28,1,1,1,0,0,1
48,0,2,1,0,0,1
28,21,1,1,0,1,0
26,20,29,1,0,1,0
23,0,2,1,0,1,1
40,0,22,1,0,0,1
24,2,1,1,0,1,1
40,2,100,0,1,1,1
22,0,0,0,1,1,1
21,0,0,1,0,0,0
42,1,-1,0,0,0,1
21,2,28,1,0,1,1
34,3,1,0,0,1,0
32,0,1,0,0,1,1
28,6,2,1,0,1,0
25,1,0,1,0,1,1
29,0,1,1,0,1,1
27,9,0,1,0,1,0
21,0,1,1,0,1,0
54,0,0,1,0,0,1
31,0,1,0,1,1,1
21,0,1,0,0,1,0
40,0,29,0,0,0,0
25,5,4,1,0,1,0
23,0,1,1,1,0,1
35,0,0,0,1,0,1
32,2,0,0,0,0,1
52,1,3,1,0,0,1
37,4,0,0,0,0,1
40,9,0,1,0,0,0
30,13,474,1,0,1,0
21,0,0,1,0,1,0
37,2,0,1,0,0,1
32,3,0,1,1,1,1
30,11,2,1,0,1,0
24,2,0,1,0,1,1
36,0,0,1,0,0,1
37,8,1,1,0,1,1
41,8,65,1,1,1,0
42,0,6,0,0,1,1
35,2,1,1,0,1,1
37,0,0,1,0,1,0
28,9,1,0,0,1,1
30,1,0,0,1,0,1
52,1,0,1,0,0,1
32,4,1,0,0,1,1
45,12,3,0,0,1,0
38,0,1,0,1,1,1
56,0,6,1,0,1,1
57,4,257,1,1,0,1
32,0,10,0,1,0,1
30,2,0,0,0,0,1
22,0,0,0,0,0,1
23,0,0,1,1,1,1
46,2,3,1,1,0,1
23,2,1,1,0,1,0
30,1,1,0,0,0,1
34,4,31,1,0,0,1
46,6,22,1,0,0,1
48,0,0,0,0,0,1
25,0,0,0,0,1,1
33,0,1,1,0,0,1
35,13,0,1,0,1,0
21,0,0,1,1,0,1
21,1,5,1,0,0,1
30,1,35,0,0,0,1
55,3,69,0,0,1,1
38,1,0,0,0,0,1
46,13,141,1,0,0,1
40,4,5,1,1,0,1
55,0,0,1,0,0,1
24,8,37,1,0,0,0
25,0,0,1,0,0,1
35,0,2,0,1,1,1
23,0,3,1,1,1,1
27,10,1,1,0,1,1
31,9,0,0,0,1,1
22,0,0,0,0,1,1
21,0,0,1,0,1,1
31,6,1,0,0,0,1
56,0,-1,1,0,0,1
28,5,0,1,0,0,1
46,0,0,1,0,1,1
52,2,3,1,0,1,1
20,1,0,1,0,1,1
40,0,1,1,1,0,1
21,0,1,1,0,0,1
